Facility_ID,Hospital_ID,Hospital_Type,Hospital_Type_Code,Hospital_Name,Address,Hospital_Contact,State_Code,District_Code,Speciality_Code,Emplaned_Date,Hospital_Latitude,Hospital_Longitude,SchemeCode
HOSP3P58777,358777,Hospital,P,NHS HOSPITAL A UNIT OF NASA BRAIN AND SPINE CENTRE,"128, GURU NANAK NAGAR  KAPURTHALA ROAD",9888954547,3,34,"100002,100005,100011,100013,100015",2026-04-30 15:52:00,31.33571,75.55713,PMJAY
HOSP3P81402,381402,Hospital,P,City hospital,"green field majitha road Amritsar,",9855435868,3,27,100006,2020-07-16 13:11:40,31.67,74.89,PMJAY
HOSP3P84011,384011,Hospital,P,BIKRAM JOINT AND TRAUMA CENTRE,"giani zail singh market, sadiq road faridkot,",9888550485,3,29,100015,2019-06-24 22:09:27,30.68680628592834,74.7468922700881,PMJAY
HOSP5P02952,502952,Hospital,P,Shubham Surgical Center Nursing Home,"Rudrapur,30/1, D1-D2, Civil Lines",8077611152,5,56,"100005,100006,100013",2024-03-14 16:08:57,28.9813500000001,79.397907,PMJAY
HOSP6P01082,601082,Hospital,P,GEETANJALI HOSPITAL AND EYE CARE CENTRE,"Rohtak road charkhi dadri,",9728417299,6,701,100013,2019-04-05 11:34:47,28.59977096090509,76.27484725223019,PMJAY
HOSP6P01620,601620,Hospital,P,Park Hospital A unit of Aggarwal Hospital and Research Services Pvt Ltd ,"SECTOR-10,OPPOSITE COURT FARIDABAD HARYANA,",9212300807,6,60,"100001,100002,100003,100005,100006,100008,100011,100012,100013,100015,100016,100017,100019,100020,100022,100023",2021-03-17 11:15:19,28.377256,77.326025,PMJAY
HOSP6P01974,601974,Hospital,P,DR S P YADAV HOSPITAL,"DR S P YADAV HOSPITAL,CIRCULAR ROAD, KANOD GATE",8901443899,6,72,,2025-01-07 14:21:07.209,28.1919738,76.6190774,PMJAY
HOSP6P02138,602138,Hospital,P,k k health care centre,"house no 238,sector 5 urban estate",9582983064,6,62,"100005,100006,100012,100014,100015,100016,100017,100020,100026",2019-06-10 16:40:01,28.48318746428805,77.01774992396486,PMJAY
HOSP6P02242,602242,Hospital,P,HOSPITAL,"cygnus hospital,",8396961222,6,68,"100001,100002,100005,100006,100007,100012,100014,100015,100019,100020,100023,100026",2018-09-16 15:51:37,29.97211114613397,76.83764975349845,PMJAY
HOSP6P02352,602352,Hospital,P,a one creations ,"NH SITE NO. 1 A ONE CREATIONS PVT. (MIRCHIA HOSPITAL) SECTOR 15 PANCHKULA,",8847088951,6,70,"100013,100026",2021-03-17 11:15:19,30.685464,76.8407670000001,PMJAY
HOSP6P02739,602739,Hospital,P,DHILLON NURSING HOME,"12 A sharda nagar jalbeda road Ambala city,",9728700272,6,58,"100006,100012,100026",2018-09-19 15:18:06,30.3654835998195,76.7668900595437,PMJAY
HOSP6P02950,602950,Hospital,P,Surya Hospital,"opp chandranchal banquet hall,Kunjpura Road Karnal",9896023004,6,67,,2018-10-09 12:07:01,29.692043634761745,76.99316203708713,PMJAY
HOSP6P03271,603271,Hospital,P,HARYANA MULTISPECIALITY HOSPITAL,"VIVEKANAND CHOWK,",7988100969,6,75,"100005,100006,100012,100015,100023",2026-05-09 20:36:38,28.996012,77.023049,PMJAY
HOSP6P03431,603431,Hospital,P,R K HOSPITAL,"R.K HOSPITAL 3C/59 B.P NIT FARIDABAD,NIT-3 NEAR ESIC MEDICAL COLLAGE",9711795663,6,60,,2018-12-03 11:14:39,28.3914520000001,77.292895,PMJAY
HOSP6P03485,603485,Hospital,P,NATIONAL INSTITUTE OF MEDICAL SCIENCES,"SECTOR 23 A,NEAR DRONACHARYA SCHOOL",9311114800,6,60,,2019-09-06 10:12:07,28.357223,77.296806,PMJAY
HOSP6P03536,603536,Hospital,P,PALWAL HOSPITAL,"OLD G T ROAD,NEAR NEW SOHNA MOD",9311114800,6,619,"100005,100006,100012,100023",2018-09-17 17:23:11,28.137199553726703,77.32878323404566,PMJAY
HOSP6P03603,603603,Hospital,P,Malik Medical and Diagnostic Centre,"508 A, Sector 12 A,",9780431124,6,70,"100005,100006,100017,100023,100026",2018-10-09 12:22:29,30.6726600000001,76.8512180000001,PMJAY
HOSP6P04275,604275,Hospital,P,DHIR VISION CENTRE,"OPPOSITE SANJEEVANI HOSPITAL, NAYA GAON MOAD, KOSLI REWARI,",8307972489,6,72,,2018-09-16 18:33:43,28.410485,76.454475,PMJAY
HOSP6P04311,604311,Daycare Centre,P,GUPTA EYE HOSPITAL,"H.NO-685 SECTOR 12A PANCHKULA,",9815748648,6,70,100013,2021-03-17 11:15:19,30.672665,76.853456,PMJAY
HOSP6P04332,604332,Hospital,P,DR R B YADAV HOSPITAL,"CIRCULAR ROAD, NEAR DHARUHERA CHUNGI",9992373475,6,72,,2019-01-25 11:50:59,28.19889,76.62416,PMJAY
HOSP6P04621,604621,Hospital,P,SHANTI DEVI MEMORIAL HOSPITAL,"KHERI MORE SECTOR 89 GREATER FARIDABAD,",8800664385,6,60,,2018-09-17 17:07:01,28.415465,77.367191,PMJAY
HOSP6P12565,612565,Hospital,P,SAIPRASANN MEDICENTRE AND SATYA CLINIC,89 Devi Murti colony Panipat HR,9728104477,6,71,"100006,100026",2018-10-09 12:24:16,29.39874,76.97427,PMJAY
HOSP6P14086,614086,Hospital,P,Centre for Sight ,"SCO Complex -317 Sector 29 ,Gurgaon ",9958422442,6,62,,2021-03-17 11:15:19,28.463919,77.065396,PMJAY
HOSP6P23554,623554,Hospital,P,ANCHAL MULTISPECIALITY HOSPITAL AND MATERNITY CENTER,"DINOD GATE,BHIWANI",9812667300,6,59,"100005,100006,100010,100012,100015,100016,100017,100023",2024-04-30 13:25:07,28.800829664585436,76.13507528675814,PMJAY
HOSP6P32461,632461,Hospital,P,Madaan Hospital,MADAAN HOSPITAL ASSANDH ROAD MODEL TOWN,9996923560,6,71,,2019-10-31 17:31:10,29.39423,76.95692,PMJAY
HOSP6P51702,651702,Hospital,P,JANGRA HOSPITAL AND MATERNITY CENTRE,Jangra Hospital And Maternity Centre Near New Bus Stand Rohtak Road Bhiwani,9812600368,6,59,"100005,100006,100012,100015,100016,100023",2024-07-12 14:44:25,28.79621,76.16305,PMJAY
HOSP6P55211,655211,Hospital,P,green tree hospital a unit of ram health care,Jind road Barwala ,8890469676,6,63,"100005,100006,100026",2025-03-06 12:15:23.257,29.36408,75.90678,PMJAY
HOSP6P55883,655883,Hospital,P,MAYOM HOSPITAL,"d block South City 1,South City-1",9899247437,6,62,,2026-05-31 10:22:10,28.458761,77.059631,PMJAY
HOSP6P68610,668610,Hospital,P,Sarvodaya Hospital and Research Centre,"YMCA ROAD, SEC-8, Faridabad,yMCA, sEC-8, fARIDABAD",7290051429,6,60,"100008,100021,100026",2021-03-17 11:15:19,28.367653,77.336220,PMJAY
HOSP6P89911,689911,Hospital,P,INSTITUTE OF REPRODUCATION CHILD CARES,"Nursing Home Site No-3 Sector-17,",9417139799,6,70,"100010,100012,100017,100026",2019-04-25 11:14:02,30.697686,76.835180,PMJAY
HOSP6P95473,695473,Hospital,P,sarvodaya multispeciality and cancer hospital,"OPP RED CROSS BHAWAN,DELHI ROAD, HISAR",9254437776,6,63,"100002,100005,100006,100011,100012,100015,100021",2019-06-10 16:38:45,29.140953940266584,75.73331698563663,PMJAY
HOSP9P00873,900873,Hospital,P,DR K C MEMORIAL GUPTA HOSPITAL,"Opp P.W.D Office Railway Station, Budh Bazar Gajraula Distt Amrooha,",8954185965,9,154,,2018-08-29 20:25:26,28.837068,78.248146,PMJAY
HOSP9P01368,901368,Hospital,P,choudhary multispeciality hospital  ,shaheed Vinod yadav dear Giri market Loni ,9350827933,9,145,"100005,100015,100023",2018-08-29 20:08:09,28.7495971,77.2811673,PMJAY
HOSP9P03956,903956,Hospital,P,BOHRA SPECIALITY HOSPITAL AND TRAUMA CENTRE,"Ramnagar Road, Near Railway Crossing, Kashipur,",9837783966,5,56,,2018-11-13 11:50:27,29.22945563593626,78.97406661294349,PMJAY
HOSP9P69030,969030,Hospital,P,lifehospital and traumacentre,"Lifehospital,Chatthameel sitapur road lucknow",9807768922,9,162,"100005,100006,100012,100015,100023",2018-12-21 20:16:16,26.9651640000001,80.8328965000001,PMJAY
HOSP9P71588,971588,Hospital,P,AMETHI HOSPITAL CONDUCTED BY AMETHI CHARITABLE EVAM MEDICAL SANSTHAN,"RAMBAGH ROAD MUNSHIGANJ AMETHI,RAMBAGH ROAD MUNSHIGANJ AMETHI",9919604177,9,162,"100005,100006,100013,100015",2019-05-21 11:57:34,26.751844,81.158286,PMJAY
HOSP20P11332,2011332,Hospital,P,PARAS HOSPITAL JAMTARA,"block road jamtara,paras hospital jamtara",7065507100,20,333,"100001,100004,100005,100006,100012,100013,100015,100017,100019,100023,100026",2018-09-21 06:58:45,23.965050999998027,86.79073500000095,PMJAY
HOSP20P14142,2014142,Hospital,P,Krishna Nursing Home,"Plot No 128 , Cooperative Colony,Cooperative Colony",9835103577,20,322,"100004,100026",2018-10-14 11:48:28,23.65033148476917,86.13338981494257,PMJAY
HOSP20P14164,2014164,Hospital,P,J P HOSPITAL & RESEARCH CENTRE,"BALIAPUR ROAD,MANJHLADIH KOLA KUSHMA DHANBAD",7979018827,20,325,"100001,100004,100005,100006,100010,100013,100015,100017,100019,100023,100026",2019-07-05 14:08:52,23.8121766,86.4642666,PMJAY
HOSP20P16218,2016218,Hospital,P,Sanjeev netralaya & dental care centre,west singhbhum,7070454544,20,343,,2024-01-12 23:59:49.76,22.535802,85.814949,PMJAY
HOSP20P19541,2019541,Hospital,P,Matrichhaya children hospital,"Matri chhaya Children Hospital,Behind indralok mall,main road ",7717773877,20,332,"100004,100005,100010,100017,100026",2021-03-13 19:44:05,23.991373153993777,85.35457440664231,PMJAY
HOSP20P85219,2085219,Hospital,P,MANGLAM NETRALAYA,"thana road near jamtara college,near jamtara college",7979968462,20,333,,2024-06-16 09:25:54.18,23.9584594,86.805455,PMJAY
HOSP20P98380,2098380,Hospital,P,G D BAGERIYA SEWA SADAN BORO,BORO,9905782307,20,329,"100005,100006,100015",2019-07-09 11:18:10,24.1963288,86.2815135,PMJAY
HOSP2P136838,2136838,Hospital,P,Himachal HealthCare Pvt Ltd,"Fortis Hospital Kangra Near By Smart Bazar,",8894018000,2,18,"100002,100005,100006,100010,100015,100023",2023-12-06 11:49:29,32.115849,76.282162,PMJAY
HOSP24P71990,2471990,Hospital,P,SHRI HARIKRUSHNA MULTISPECIALITY HOSPITAL,"FIRST FLOOR, MARUTI COMPLEX,BUS STAND-MALAV TALAV ROAD,DHOLKA",9824253959,24,438,"100006,100012,100015",2019-02-11 13:59:26,22.726836,72.4354290000001,PMJAY
HOSP3P102242,3102242,Hospital,P,Umeed Multispeciality Hospital,"dhuri - Patiala Bypass Road,",9821965303,3,43,"100006,100015,100019,100020,100023",2019-11-08 11:27:43,30.2497104,75.8650034,PMJAY
HOSP3P102566,3102566,Hospital,P,GurAmrit hospital,"partap avenue, GT road,opp Mall of amritsar",9988092122,3,27,100005,2021-09-21 17:01:29,31.619711,74.903826,PMJAY
HOSP3P102568,3102568,Hospital,P,Taneja Hospital,"Near Over bridge, jagaron,G t Road",9878633047,3,36,100015,2019-11-01 11:13:59,30.81006994656667,75.48227341768711,PMJAY
HOSP3P121221,3121221,Hospital,P,SIDANA MULTISPECIALITY HOSPITAL,"SIDANA MULTISPECIALITY HOSPITAL,",9888891002,3,27,"100005,100006,100012,100015,100023",2021-04-15 10:38:51,31.6662860000001,74.7111300000001,PMJAY
HOSP5P116632,5116632,Hospital,P,ARIHANT ADVANCE SURGICAL AND FERTILITY CENTRE ,"18, Haridwar Road , Shastri Nagar Dehradun ,",8477015555,5,49,"100005,100006,100012,100015,100023",2026-07-03 12:16:51,30.291702,78.0596580000001,PMJAY
HOSP5P123335,5123335,Hospital,P,Ujala Hospital Unit 2,"OPPT GOVT HOSPITAL RAMNAGAR ROAD KASHIPUR,oppt govt hospital ramnagar road kashipur",8909617823,5,56,"100004,100005,100006,100010,100012,100013,100015,100016,100017,100023",2022-11-24 10:42:28,29.2731240000001,79.017141,PMJAY
